name,address,category,main_mn,price,opng_tm,rating,rvw_cnt,tags,p_id,reviews
손맛,서울특별시 중랑구 면목동 467-1,,짜조,5000.0,{'매일': '오전 10시 30분 - 오후 9시 30분 (매주목요일휴무)'},,,"저녁식사,점심식사,회식,다이어트식단,혼밥,가족외식,가성비좋은,숨은맛집,이국적/이색적,조용한,캐주얼한,서민적인,푸짐한,지역주민이 찾는",1106,
브라더후드키친,서울특별시 강남구 역삼동 810-13,,치킨 & 와플 오리지널,18900.0,{'매일': '정오 12시 - 오후 10시 (Last Oder 21:00)'},,,"저녁식사,점심식사,데이트,기념일,식사모임,간식,술모임,브런치,남자끼리,회식,모임,여자끼리,이국적/이색적,캐주얼한,시끌벅적한,예쁜,고급스러운,푸짐한,깔끔한,서민적인,경관/야경이 좋은,조용한,젊은사람이많은,빈티지,아담한,가성비좋은,야외좌석,무료주차,테이블링,대형좌석,현장대기필요",917,
다미,서울특별시 영등포구 여의도동 36-4 오륜빌딩 1층,,연어생선구이,12000.0,"{'월-금': '오전 11시 30분 - 자정 12시 (14:00-17:00브레이크/공휴일포함)', '휴무일': '매주 토/일 '}",,,"술모임,저녁식사,점심식사,회식,데이트,여자끼리,남자끼리,시끌벅적한,서민적인,캐주얼한,푸짐한,현장대기필요",324,
송정식당,서울특별시 종로구 종로5가 443,,불꼬지 백반 1인,7000.0,"{'매일': '오전 8시 - 오후 9시 ', '휴무일': '매주 일요일 '}",,,"점심식사,저녁식사,혼밥,술모임,식사모임,데이트,혼술,아침식사,서민적인,가성비좋은,지역주민이 찾는,시끌벅적한,푸짐한,조용한,숨은맛집,아담한,무료주차",1118,
미니회바,서울특별시 강동구 성내동 50-19,,회 스페셜,20000.0,"{'매일': '오후 5시 - 오전 1시 ', '휴무일': '매주 일요일 '}",,,"혼밥,점심식사,술모임,서민적인,깔끔한,조용한,예쁜,아담한,숨은맛집,현장대기필요",743,
육회말연어,서울특별시 관악구 행운동 851-15,,생연어,17000.0,{'매일': '오후 4시 30분 - 오전 2시 '},,,"술모임,저녁식사,데이트,시끌벅적한,조용한,캐주얼한,서민적인,배달가능",1592,
안다즈커피,서울특별시 광진구 구의동 75-26,,아인슈패너,5500.0,{'매일': '오전 10시 - 오후 10시 ((매월 마지막주 월요일 정기휴무))'},,,"차모임,데이트,혼카페,혼자 방문,여자끼리,술모임,친구들끼리,디저트,예쁜,경관/야경이 좋은,시끌벅적한,숨은맛집,캐주얼한,깔끔한,지역주민이찾는,지역주민이 찾는,경관/야경이좋은,서민적인,이국적/이색적,야외좌석,무료주차,애완동물동반",1315,
공음,서울시 은평구 불광동 268-3,,아메리카노,3500.0,{'매일': '정오 12시 - 오후 10시 (격주 월요일 휴무 )'},,,"혼카페,차모임,간식,조용한,깔끔한,캐주얼한,예쁜,지역주민이 찾는,애완동물동반",160,
동해해물,서울특별시 광진구 화양동 37-1,,해물찜,,{'매일': '오전 11시 - 오후 10시 30분 ((명절휴무))'},,,"저녁식사,회식,점심식사,술모임,모임,식사모임,가족외식,실버푸드,남자끼리,지역주민이 찾는,시끌벅적한,서민적인,숨은맛집,아담한,가성비좋은,중년이상이많은,깔끔한,조용한,오래된집,좌식",462,
라 플랑끄,서울특별시 용산구 이태원동 129-9,,오리고기 리예뜨,10000.0,"{'월-금': '오후 5시 - 오후 10시 ', '토요일': '오전 11시 30분 - 오후 10시 ', '일요일': '오전 11시 30분 - 오후 10시 '}",,,"데이트,저녁식사,점심식사,기념일,식사모임,술모임,여자끼리,모임,접대,이국적/이색적,서민적인,예쁜,캐주얼한,푸짐한,모던한,시끌벅적한,숨은맛집,가성비좋은,아늑한,아담한,authentic,조용한,야외좌석,대형룸",510,
느티나무설렁탕,서울특별시 중구 신당동 251-131,,설렁탕,9000.0,"{'매일': '24시간 영업 ', '토요일': '자정 12시 - 오후 8시 ((토 20시~일 8시 휴무))'}",,,"점심식사,저녁식사,데이트,가족외식,혼밥,술모임,식사모임,회식,모임,접대,아침식사,서민적인,푸짐한,숨은맛집,깔끔한,규모가큰,캐주얼한,오래된집,지역주민이 찾는,조용한,시끌벅적한,가성비좋은,토속적인",315,
우물우물,서울특별시 성북구 성북동 215-1,,우나기동정식,28000.0,"{'매일': '오전 11시 30분 - 오후 7시 30분 ', '일요일': '정오 12시 - 오후 3시 ', '쉬는시간 매일': '오후 2시 30분 - 오후 6시 ', '휴무일': '매주 월요일 '}",,,"점심식사,혼밥,여자끼리,저녁식사,모임,가족외식,깔끔한,지역주민이 찾는,조용한,이국적/이색적",1538,
강릉엄지네 꼬막집,서울특별시 광진구 구의동 246-14 크레신타워3차 2층,,강릉 엄지네 꼬막 비빔밥,35000.0,"{'매일': '오전 11시 - 오후 11시 (365 연중무휴, 오후 11시까지 포장가능)'}",,,"점심식사,식사모임,저녁식사,데이트,친구들끼리,가족외식,술모임,서민적인,캐주얼한,푸짐한,시끌벅적한,깔끔한,지역주민이찾는,지역주민이 찾는,무료주차",82,
성천 막국수,서울시 동대문구 답십리동 33-28,,제육,10000.0,"{'월-금': '오전 11시 30분 - 오후 9시 ', '쉬는시간 매주 월-금': '오후 3시 - 오후 5시 ', '휴무일': '매주 일요일 (국경일,토요일 정상 영업)'}",,,"점심식사,혼밥,저녁식사,혼술,술모임,가족외식,식사모임,데이트,서민적인,가성비좋은,지역주민이 찾는,시끌벅적한,숨은맛집,푸짐한,지역주민이찾는,깔끔한,무료주차,주차불가,현장대기필요,무료주차30분",1072,
퍼블리코 타코,서울특별시 관악구 봉천동 1626-12,,Carne Asada Taco,9000.0,"{'매일': '오전 11시 30분 - 오후 11시 ', '휴무일': '매주 월요일 '}",,,"저녁식사,점심식사,데이트,식사모임,친구들끼리,기념일,혼밥,술모임,여자끼리,간식,캐주얼한,예쁜,지역주민이 찾는,시끌벅적한,이국적/이색적,가성비좋은,숨은맛집,아담한 분위기",2070,
일마지오 여의도점,서울시 영등포구 여의도동 44-21,,빼쉐,14000.0,"{'월-금': '오전 11시 30분 - 오후 9시 30분 (연중무휴)', '토/일': '정오 12시 - 오후 9시 30분 '}",,,"저녁식사,식사모임,점심식사,데이트,가족외식,가성비좋은,예쁜,캐주얼한,고급스러운,이국적/이색적,조용한,지역주민이 찾는,깔끔한,푸짐한,경관/야경이 좋은,무료주차",1672,
돈불1971,서울특별시 서대문구 창천동 62-37,,연탄초벌제주오겹살,13000.0,"{'매일': '오전 11시 30분 - 오후 11시 30분 (라스트오더 오후 11시)', '일요일': '오후 3시 - 오후 11시 30분 (라스트오더 오후 11시)'}",,,"저녁식사,회식,점심식사,술모임,가족외식,식사모임,모임,데이트,서민적인,숨은맛집,푸짐한,지역주민이 찾는,가성비좋은,시끌벅적한",434,
데블스도어 본점,서울특별시 서초구 반포동 118-6,,Devil's Fried Chicken,25000.0,"{'월,화,일': '오전 11시 - 오후 11시 ', '수,목': '오전 11시 - 오후 11시 ', '금,토': '오전 11시 - 오전 1시 '}",,,"술모임,데이트,저녁식사,식사모임,회식,점심식사,남자끼리,기념일,여자끼리,혼밥,간식,친구들끼리,차모임,시끌벅적한,이국적/이색적,캐주얼한,고급스러운,깔끔한,경관/야경이 좋은,빈티지,예쁜,지역주민이 찾는,규모가큰,개별룸,무료주차,예약필요,대형룸,주차가능",404,
란주라미엔,서울특별시 중구 충무로1가 25-14,,해물자장도삭면,7000.0,{'매일': '오전 11시 - 오후 9시 30분 (연중무휴)'},,,"점심식사,저녁식사,식사모임,데이트,가족외식,혼밥,술모임,회식,남자끼리,명동 맛집,기념일,시끌벅적한,푸짐한,이국적/이색적,가성비좋은,서민적인,캐주얼한,숨은맛집,지역주민이 찾는,깔끔한,현지인,고급스러운,중국인,격식있는,아담한,현장대기필요,주변 발렛주차가능,발렛주차,그런거 없음,주차불가",541,
코코로식당,서울특별시 금천구 가산동 83-6 2층,,가츠동,7000.0,"{'월-금': '오전 11시 30분 - 오후 11시 30분 (점심쉬는시간 14:30~17:00)', '토요일': '오전 11시 30분 - 오후 5시 (점심쉬는시간 14:30~17:00)', '휴무일': '매주 일요일 '}",,,"점심식사,저녁식사,술모임,식사모임,혼밥,데이트,회식,조용한,캐주얼한,숨은맛집,깔끔한,지역주민이 찾는",1951,
다케롤,서울특별시 구로구 구로동 186-7,,참치회 스페셜,32000.0,"{'월-금': '오후 6시 - 자정 12시 ', '토/일': '오후 6시 - 오후 11시 '}",,,"저녁식사,술모임,회식,푸짐한,서민적인,지역주민이 찾는,가성비좋은,캐주얼한,숨은맛집",338,
소문난식당,서울특별시 영등포구 문래동4가 8-30,,고등어 조림 백반,8000.0,"{'월-금': '오전 11시 - 오후 8시 ', '토요일': '오전 11시 - 오후 4시 ', '공휴일': '오전 11시 - 오후 4시 ', '쉬는시간 매주 월-금': '오후 4시 - 오후 5시 ', '휴무일': '매주 일요일 '}",,,"점심식사,아침식사,서민적인,숨은맛집,시끌벅적한,가성비좋은",1093,
호남식당,서울특별시 중구 충무로4가 127-16,,야채찜돼지갈비,14000.0,"{'매일': '정오 12시 - 오후 10시 30분 ', '휴무일': '매주 일요일 '}",,,"저녁식사,술모임,회식,점심식사,식사모임,그냥 맛없음,지역주민이 찾는,서민적인,캐주얼한,시끌벅적한",2229,
타쿠미,서울특별시 강동구 성내3동 429-2,,타쿠미정식,19000.0,"{'매일': '오전 11시 30분 - 오후 10시 ', '쉬는시간 매일': '오후 3시 30분 - 오후 5시 ', '휴무일': '매주 월요일 '}",,,"점심식사,아담한,시끌벅적한",1990,
강남불백 1호점,서울특별시 강남구 역삼동 827-23,,불고기정식,7000.0,{'매일': '오전 10시 - 오후 11시 '},,,"점심식사,저녁식사,혼밥,식사모임,여자끼리,데이트,가족외식,술모임,모임,남자끼리,가성비좋은,서민적인,캐주얼한,시끌벅적한,깔끔한,중년이상이많은,젊은사람이많은,푸짐한,지역주민이 찾는,무료주차",77,
맛있는집,서울특별시 서대문구 북가좌동 311-6,,떡볶이,3000.0,,,,"간식,데이트,점심식사,혼밥,저녁식사,서민적인,푸짐한,숨은맛집,가성비좋은,지역주민이 찾는,시끌벅적한",638,
머노까머나 신촌점,서울특별시 서대문구 창천동 52-25 2F,,평일 런치세트 A,9900.0,{'매일': '오전 11시 - 오후 10시 30분 (연중무휴)'},,,"저녁식사,점심식사,데이트,식사모임,회식,이국적/이색적,깔끔한,서민적인,가성비좋은,조용한,캐주얼한,고급스러운,배달가능",657,
호 파스타,서울시 광진구 화양동 12-52,,리코타 수제소세지 토마토,7900.0,"{'매일': '오전 11시 - 오후 9시 (Break Time 15 ~ 17, Last order 20:40)'}",,,"점심식사,데이트,혼밥,저녁식사,식사모임,술모임,조용한,깔끔한,가성비좋은,숨은맛집,캐주얼한,지역주민이 찾는,서민적인,예쁜,고급스러운,이국적/이색적,바테이블",2228,
봉추찜닭,서울시 송파구 신천동 29 제2롯데월드 쇼핑몰 6층,,봉추찜닭(소),23000.0,{'매일': '오전 10시 30분 - 오후 10시 '},,,"저녁식사,점심식사,데이트,가족외식,식사모임,아이동반,회식,서민적인,푸짐한,시끌벅적한,지역주민이 찾는,조용한,깔끔한,캐주얼한,지역주민이찾는,가성비좋은",880,
까망통돼지,서울시 중랑구 상봉동 102-89,,통생고기,7900.0,{'매일': '오전 11시 30분 - 오후 11시 30분 '},,,"저녁식사,회식,술모임,식사모임,점심식사,단체회식,가족외식,데이트,서민적인,지역주민이 찾는,시끌벅적한,가성비좋은,캐주얼한,대형룸",235,
몽탄,서울 용산구 한강로1가 251-1,,우대갈비,25000.0,{'매일': '오후 4시 - 오후 11시 30분 '},,,"저녁식사,데이트,술모임,식사모임,가족외식,기념일,점심식사,접대,회식,연말모임,친구들,아이동반,시끌벅적한,고급스러운,숨은맛집,깔끔한,캐주얼한,이국적/이색적,예쁜,서민적인,푸짐한,지역주민이 찾는,조용한,격식있는,주차불가,개별룸",719,
흥부전놀부전,서울특별시 강북구 수유동 221-55,,해물김치전,12000.0,"{'매일': '오후 4시 - 오전 2시 ', '휴무일': '매주 일요일 '}",,,"술모임,데이트,회식,서민적인,지역주민이찾는,시끌벅적한,야외좌석,주차불가",2304,
사모님돈가스,서울특별시 마포구 상수동 310-8,,사모님돈가스,9500.0,"{'매일': '정오 12시 - 오후 8시 (,재료소진시 영업종료)', '쉬는시간 매일': '오후 2시 - 오후 5시 (,재료소진시 영업종료)', '휴무일': '매주 일요일 '}",,,"점심식사,저녁식사,데이트,혼밥,식사모임,홍대 돈까스,맛집탐방,홍대 맛집,친구모임,깔끔한,푸짐한,서민적인,캐주얼한,숨은맛집,가성비좋은,예쁜,조용한,지역주민이 찾는,아담한,시끌벅적한,젊은사람이많은,아기자기함,줄서서 먹는,정돈된,일본감성,아담한분위기,현장대기필요,주차불가,예약필요",978,
이몸이만든빵,서울특별시 양천구 신정동 325,,한입 맘모스,4500.0,"{'매일': '오전 11시 - 오후 8시 (연중무휴(명절 제외))', '휴무일': '매주 월,일 '}",,,"점심식사,테이크아웃,간식,혼카페,깔끔한,지역주민이 찾는,조용한,숨은맛집,무료주차",1625,
파조쿠치나,서울특별시 강북구 수유동 521-50,,파조버거와 감자튀김,12900.0,"{'화,수,목,금,토/일': '오전 11시 - 오후 10시 '}",,,"저녁식사,데이트,식사모임,가족외식,서민적인,아담한,가성비좋은,지역주민이 찾는,숨은맛집,캐주얼한,푸짐한",2052,
여신족발,서울특별시 금천구 가산동 44-1,,족발 대,38000.0,"{'매일': '오후 4시 - 오후 11시 ', '휴무일': '매주 일요일 '}",,,"술모임,저녁식사,회식,가족외식,야식,기본에충실한,남자끼리,시끌벅적한,서민적인,캐주얼한,아담한,오래된집,현장대기필요,좌식",1401,
언니네 함바그,서울특별시 동대문구 이문동 288-53,,언니네함바그M,7500.0,"{'화,수,금,토/일': '오전 11시 - 오후 9시 (마지막 주문 20:30)'}",,,"점심식사,혼밥,저녁식사,데이트,식사모임,가성비좋은,캐주얼한,서민적인,예쁜,푸짐한,숨은맛집,깔끔한,조용한,시끌벅적한,지역주민이 찾는,배달가능,애완동물동반",1364,
표준커피,서울특별시 노원구 공릉동 589-21,,표준커피,3000.0,{'매일': '정오 12시 - 오후 10시 '},,,"혼카페,간식,차모임,데이트,3-4인,점심식사,예쁜,깔끔한,지역주민이 찾는,서민적인,조용한,숨은맛집,캐주얼한,야외좌석",2105,
순금이 떡볶이 아차산점,서울특별시 광진구 구의동 53-14,,떡볶이,2500.0,{'매일': '오전 10시 30분 - 자정 12시 30분 '},,,"점심식사,간식,저녁식사,혼밥,서민적인,지역주민이 찾는,시끌벅적한,캐주얼한,가성비좋은,지역주민이찾는,푸짐한,아담한,숨은맛집",1141,
구복,서울특별시 서대문구 창천동 13-49,,샤오룽바오 (小籠包),7000.0,"{'월-금': '오전 11시 30분 - 오후 9시 (월요일~토요일)', '일요일': '오후 4시 - 오후 9시 '}",,,"점심식사,저녁식사,혼밥,식사모임,데이트,서민적인,이국적/이색적,숨은맛집,가성비좋은,조용한,지역주민이 찾는,캐주얼한",179,
우마이도 건대점,서울특별시 광진구 화양동 3-29,,돈코츠 라멘 오리지날,8000.0,{'매일': '오후 5시 - 오후 9시 (Last order 21:00)'},,,"점심식사,저녁식사,혼밥,데이트,식사모임,아침식사,친구들끼리,술모임,남자끼리,기념일,간식,회식,여자끼리,혼차,가족외식,캐주얼한,깔끔한,이국적/이색적,서민적인,시끌벅적한,가성비좋은,아담한,젊은사람이많은,조용한,푸짐한,숨은맛집,지역주민이 찾는,예쁜,일본감성,현장대기필요,콜키지가능,돈코츠라멘",1537,
썸머타이,서울특별시 노원구 상계동 710,,뿌님팟퐁커리,28000.0,{'매일': '오전 11시 - 오후 10시 '},,,"점심식사,저녁식사,식사모임,데이트,아침식사,혼밥,가족외식,깔끔한,푸짐한,예쁜,이국적/이색적,캐주얼한,숨은맛집,아담한,무료주차,포장가능,예약가능,단체석,배달가능,무선인터넷",1269,
그집껍데기,서울특별시 강서구 화곡동 1115-23,,불속에 빠진돈,10000.0,{'매일': '오후 5시 - 오전 3시 '},,,"저녁식사,술모임,식사모임,데이트,숨은맛집,서민적인,지역주민이 찾는,캐주얼한,무료주차",201,
서부감자국,서울특별시 은평구 녹번동 181,,감자국(小),22000.0,{'매일': '24시간 영업 (연중무휴)'},,,"술모임,저녁식사,식사모임,가족외식,점심식사,아이동반,회식,지역주민이 찾는,서민적인,가성비좋은,푸짐한,캐주얼한,숨은맛집,깔끔한,조용한,시끌벅적한,24시간영업",1040,
기꾸스시,서울특별시 서대문구 창천동 72-23,,기꾸초밥,9000.0,"{'매일': '오전 11시 30분 - 오후 10시 (연중무휴(명절제외), 브레이크타임 3시~5)'}",,,"점심식사,저녁식사,데이트,혼밥,식사모임,접대,술모임,친구랑 둘이,가성비좋은,캐주얼한,깔끔한,서민적인,조용한,시끌벅적한,아담한,숨은맛집,푸짐한,지역주민이 찾는,이국적/이색적,고급스러운,젊은사람이많은,예쁜,현장대기필요,좌식,무료주차,개별룸",211,
서북면옥,서울시 광진구 구의2동 80-47,,물냉면,8000.0,"{'매일': '오전 11시 - 오후 8시 (마지막 주문 20:00)', '휴무일': '매주 일요일 '}",,,"점심식사,저녁식사,가족외식,혼밥,아침식사,데이트,식사모임,아이동반,회식,다이어트식단,접대,서민적인,가성비좋은,시끌벅적한,오래된집,캐주얼한,깔끔한,지역주민이 찾는,아담한,중년이상이많은,숨은맛집,조용한,푸짐한,토속적인,친절,이국적/이색적,고급스러운,현장대기필요,좌식,어린이대공원주차장,주차불가",1041,
아리가또맘마,서울특별시 금천구 가산동 371-106,,눈꽃치즈돈까스,8500.0,"{'매일': '오전 11시 - 오후 9시 (공휴일, 일요일 휴무)'}",,,"점심식사,가족외식,저녁식사,서민적인,캐주얼한,지역주민이 찾는,숨은맛집",1282,
브레라,서울시 중구 신당동 366-440,,마르게리타 피자,15900.0,{'매일': '오전 11시 - 오후 11시 (주문마감 21:30)'},,,"점심식사,저녁식사,데이트,가족외식,모임,식사모임,캐주얼한,이국적/이색적,시끌벅적한,푸짐한,숨은맛집,가성비좋은,지역주민이 찾는",922,
에헴,서울특별시 중랑구 상봉동 90-11,,토마토 삼겹 꼬치,2500.0,,,,"저녁식사,술모임,데이트,지역주민이 찾는,시끌벅적한,숨은맛집,이국적/이색적",1390,
텐동 요츠야,서울특별시 관악구 봉천동 1603-19,,텐동요츠야,8000.0,"{'매일': '정오 12시 - 오후 9시 ', '쉬는시간 매일': '오후 2시 30분 - 오후 5시 ', '휴무일': '매주 월요일 '}",,,"점심식사,저녁식사,데이트,혼밥,식사모임,혼술,여자끼리,술모임,가족외식,깔끔한,이국적/이색적,캐주얼한,푸짐한,시끌벅적한,조용한,지역주민이 찾는,서민적인,숨은맛집,예쁜,고급스러운,가성비좋은,경관/야경이 좋은,젊은사람이많은,줄서서먹는,아담한,격식있는,현장대기필요",2012,
등촌샤브칼국수 등촌점,서울특별시 강서구 등촌3동 679-1 아트빌딩 2층,,버섯 매운탕 칼국수,8000.0,"{'매일': '오전 10시 30분 - 오후 10시 (10:40 오픈 (주말,공휴일) 영업합니다)'}",,,"점심식사,저녁식사,식사모임,데이트,가족외식,모임,아침식사,가성비좋은,서민적인,지역주민이 찾는,캐주얼한,푸짐한,시끌벅적한,숨은맛집,지역주민이찾는,무료주차",485,
콜린,서울특별시 마포구 서교동 403-13,,음료,5500.0,"{'월-금': '오전 10시 30분 - 오전 2시 ', '토/일': '오전 10시 30분 - 오전 3시 '}",,,"데이트,차모임,혼카페,간식,점심식사,디저트,친구들끼리,기념일,플라워 까페,힐링,접대,여자끼리,예쁜,경관/야경이 좋은,캐주얼한,깔끔한,이국적/이색적,시끌벅적한,격식있는,플라워카페,조용한,야외좌석,플라워카페",1956,
로코스 비비큐 본점,서울특별시 용산구 이태원동 2-5,,PORK,,"{'월-금': '오전 11시 30분 - 오후 10시 30분 (월화수목일)', '토/일': '오전 11시 30분 - 오후 11시 (금토)'}",,,"점심식사,저녁식사,데이트,술모임,회식,식사모임,가족외식,푸짐한,이국적/이색적,시끌벅적한,고급스러운,숨은맛집,가성비좋은,캐주얼한",562,
부흥축산,서울 중랑구 상봉동 105-91,,,,{'매일': '오전 8시 30분 - 오후 10시 '},,,"저녁식사,식사모임,서민적인,가성비좋은",901,
에그썸,서울특별시 관악구 봉천동 1626-5,,마그마오믈렛,9500.0,"{'매일': '오전 11시 - 오후 9시 (라스트오더 1차 (오후 3시20분) 2차 (오후 8시20분))', '쉬는시간 매일': '오후 4시 - 오후 5시 '}",,,"점심식사,데이트,저녁식사,혼밥,식사모임,여자끼리,친구랑,기념일,친구들끼리,남자끼리,깔끔한,캐주얼한,가성비좋은,서민적인,푸짐한,예쁜,조용한,숨은맛집,시끌벅적한,아담한,지역주민이 찾는,아담한 분위기,지역주민이찾는,작고 귀여운,이국적/이색적,생활의달인,구데타마,야외좌석,바테이블,웨이팅장소가마련,현장대기필요,주차불가",1379,
장독 흑돼지,서울특별시 강동구 암사동 511-20,,흑돼지삼겹살 180g,15000.0,{'매일': '오전 11시 - 오후 10시 (연중무휴)'},,,"저녁식사,점심식사,술모임,가족외식,식사모임,회식,시끌벅적한,지역주민이 찾는,서민적인,숨은맛집,푸짐한,가성비좋은,무료주차",1705,
기찻길연탄불생고기,서울특별시 영등포구 당산동6가 320,,"생고기,양념갈비 각",13000.0,{'매일': '정오 12시 30분 - 자정 12시 (명절 연휴 휴무)'},,,"저녁식사,회식,술모임,식사모임,가족외식,모임,점심식사,남자끼리,데이트,야식,여자끼리,서민적인,시끌벅적한,숨은맛집,가성비좋은,규모가큰,오래된집,지역주민이 찾는,푸짐한",216,
매드포갈릭 타임스퀘어점,서울특별시 영등포구 영등포동4가 442 타임스퀘어 4층,,Caesar Salad,17900.0,{'매일': '오전 11시 - 오후 10시 ((Last Order 21:00))'},,,"데이트,저녁식사,식사모임,기념일,점심식사,아이동반,가족외식,술모임,깔끔한,고급스러운,캐주얼한,무료주차",650,
창고43 본점1관,서울특별시 영등포구 여의도동 36-2,,창고43 스페셜,39000.0,"{'월-금': '오후 5시 30분 - 오후 10시 (DINNER)', '토/일': '오전 11시 30분 - 오후 10시 '}",,,"저녁식사,식사모임,가족외식,기념일,접대,데이트,술모임,회식,점심식사,고급스러운,격식있는,시끌벅적한,캐주얼한,깔끔한,지역주민이 찾는,무료주차,개별룸,대형룸,모름",1833,
